party,guest,email
1,"Sommer Medrano, Phillip Medrano, Blanka Medrano, Emaan Medrano",sommm@gmail.com
2,"Blair Park, Nigel Webb",bpark@gmail.com
3,Sinead English,singlish@hotmail.ca
4,Ayra Marks,marksa42@gmail.com
6,"Jolene Welsh, Hayley Booker",jw1987@hotmail.com
7,"Amayah Sanford, Erika Foley",erikaaaaaa@gmail.com
8,Ciaron Acosta,shining_ciaron@gmail.com
9,Diana Stuart,doodledianastu@gmail.com
12,"Daisy-May Caldwell, Martin Caldwell, Violet Caldwell, Nazifa Caldwell, Eric Caldwell",caldwellfamily5212@gmail.com
13,"Rosanna Bird, Kurtis Frost",rosy1987b@gmail.com
14,"Huma Stokes, Samuel Rutledge",humastokes@gmail.com
15,"Eddison Collier, Stewart Nicholls",eddison.collier@gmail.com
16,Turner Jones,tjjones12@hotmail.ca
17,"Albert Marshall, Vivian Marshall",themarshallfamily1234@gmail.com
